#   wl        direct       diffuse (W/m^2/mic)
2.0150    19.7447834     0.6889102
2.0175    23.2460594     0.8101181
2.0200    23.1416283     0.8055329
2.0225    37.0111046     1.2868072
2.0250    51.8720551     1.8013966
2.0275    51.6356964     1.7903662
2.0300    58.7438927     2.0336375
2.0325    58.4789391     2.0218601
2.0350    65.6970978     2.2685094
2.0375    63.9696579     2.2060423
2.0400    63.6768723     2.1931612
2.0425    65.2406006     2.2444851
2.0450    63.2852783     2.1747732
2.0475    62.9972229     2.1618614
2.0500    47.6857491     1.6341486
2.0525    47.4531364     1.6237113
2.0550    40.8301201     1.3949770
2.0575    40.6327705     1.3867143
2.0600    50.0177689     1.7051435
2.0625    43.4873772     1.4809065
2.0650    43.2823372     1.4723208
2.0675    43.6900291     1.4843888
2.0700    43.4734154     1.4752390
2.0725    49.4947128     1.6773257
2.0750    53.2899246     1.8035308
2.0775    53.0216141     1.7925465
2.0800    61.1144676     2.0639732
2.0825    60.8095665     2.0512407
2.0850    57.3702316     1.9329532
2.0875    57.0809479     1.9212015
2.0900    59.9731178     2.0164533
2.0925    59.8908958     2.0108044
2.0950    59.5840187     1.9976552
2.0975    58.1660995     1.9473469
2.1000    58.1417694     1.9437823
2.1025    59.3111038     1.9806063
2.1050    59.3290176     1.9789515
2.1075    62.1288414     2.0697219
2.1100    59.6631088     1.9850793
2.1125    59.4084320     1.9738630
2.1150    58.5657883     1.9431810
2.1175    58.3073692     1.9319459
2.1200    59.8874931     1.9815841
2.1225    59.6270866     1.9707932
2.1250    58.9085197     1.9449003
2.1275    58.6562729     1.9344548
2.1300    58.2607613     1.9193244
2.1325    59.6297264     1.9620416
2.1350    59.3578835     1.9507371
2.1375    59.9369736     1.9673998
2.1400    59.6676559     1.9562161
2.1425    59.3473244     1.9433975
2.1450    59.0780754     1.9322850
2.1475    58.2024536     1.9018874
2.1500    57.9293785     1.8912144
2.1525    52.5469971     1.7132640
2.1550    52.3098297     1.7033228
2.1575    55.9858475     1.8206732
2.1600    51.8905678     1.6853209
2.1625    51.6469765     1.6754800
